Word(s),Spoken Form (If Different)
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
nmap,N map
under-documented,under documented
https://linkedin.zoom.us/my/zoomgrant,zoom grant
lix,licks
LinkedIn,linked in
LinkedIn,linton 
Hoffecker,half acker
Hoffecker,hoff acker
.com,do come
okta,acta
ghoffecker@LinkedIn.com,work email
gfreder@gmail.com,personal email
gfh47@Cornell.edu,school email
endpoints,and points
product spec,product speck
iOS,iowa as
ACL,ackel
ACLs,ackels
Michelle,Michel
pm,pee am
am,ay am
199982655,grant member id
Tahoe,tajo
921 Mariner Drive,nine two one mariner drive
